workload,reference_workload,signoff_total_mW,all_calibration_prediction_mW,reference_calibration_prediction_mW,percent_difference_all,percent_difference_reference,is_synthetic
vec_elemadd,vec_elemadd,67.3546156,73.08168449036637,67.35427772873395,8.502860330133586,0.0005016304570148715,True
tensor3_ttv,vec_elemadd,96.6287607,109.9856656110059,94.78068787673884,13.822908225507128,1.9125494416706956,True
mat_elemmul,vec_elemadd,116.39519700000001,122.3613014288019,103.48057410175448,5.125730771177683,11.09549468630181,True
mat_mask_tri,vec_elemadd,153.249215,168.00238469973706,136.59675038455774,9.626913716808973,10.866264218999266,True
mat_sddmm,vec_elemadd,187.817087,205.42228591656297,166.8146317582947,9.373587460955022,11.18239856510249,True
mat_mattransmul,vec_elemadd,180.619363,184.50084976396,148.96298747141321,2.148987073971686,17.526568028360714,True
tensor3_mttkrp,vec_elemadd,217.773571,211.07426768496987,165.57903366897222,3.0762701296890316,23.967342359935763,True
tensor3_innerprod,vec_elemadd,151.294477,149.02412179696125,122.13767532835577,1.5006200147271385,19.271557197454225,True
harris,vec_elemadd,169.67567499999998,153.77141980798888,128.40301444548462,9.37332660796022,24.32444164699234,True
unsharp,vec_elemadd,206.003327,178.79802161276126,148.8439868634863,13.206245638566191,27.746804369093375,True
gaussian,vec_elemadd,110.586405,94.88486763271253,82.77326190954332,14.198433674815156,25.150598837584674,True
